osr_Province,osr_District,canonical_Province,canonical_District,matched_score_Province,matched_score_District,match_status,osr_years,osr_rows,reconciliation_notes
Central,Chibombo,Central,Chibombo,Central,Chibombo,matched,2021;2022;2023;2024,4,
Central,Chisamba,Central,Chisamba,Central,Chisamba,matched,2021;2022;2023;2024,4,
Central,Chitambo,Central,Chitambo,Central,Chitambo,matched,2021;2022;2023;2024,4,
Central,Itezhi-tezhi,Central,Itezhi-tezhi,Central,Itezhi-Tezhi,matched,2021;2022;2023;2024,4,score district normalized: Itezhi-Tezhi -> Itezhi-tezhi
Central,Kabwe Municipal Council,Central,Kabwe,Central,Kabwe,matched,2021;2022;2023;2024,4,council suffix removed: Kabwe Municipal Council -> Kabwe
Central,Kapiri Mposhi,Central,Kapiri Mposhi,Central,Kapiri Mposhi,matched,2021;2022;2023;2024,4,
Central,Luano,Central,Luano,Central,Luano,matched,2021;2022;2023;2024,4,
Central,Mkushi,Central,Mkushi,Central,Mkushi,matched,2021;2022;2023;2024,4,
Central,Mumbwa,Central,Mumbwa,Central,Mumbwa,matched,2021;2022;2023;2024,4,
Central,Ngabwe,Central,Ngabwe,Central,Ngabwe,matched,2023;2024,2,
Central,NgabweTown Council,Central,Ngabwe,Central,Ngabwe,matched,2021;2022,2,council suffix removed: NgabweTown Council -> Ngabwe
Central,Serenje,Central,Serenje,Central,Serenje,matched,2021;2022;2023;2024,4,
Central,Shibuyunji,Central,Shibuyunji,Central,Shibuyunji,matched,2021;2022;2023;2024,4,
Copperbelt,Chililabombwe Municipal Council,Copperbelt,Chililabombwe,Copperbelt,Chililabombwe,matched,2021;2022;2023;2024,4,council suffix removed: Chililabombwe Municipal Council -> Chililabombwe
Copperbelt,Chingola Municipal Council,Copperbelt,Chingola,Copperbelt,Chingola,matched,2021;2022;2023;2024,4,council suffix removed: Chingola Municipal Council -> Chingola
