Province,District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,Year,canonical_Province,canonical_District,matched_score_Province,matched_score_District,join_key,match_status,reconciliation_notes
Central,Chibombo,1968400.0,4876849.0,483910.0,1446782.0,965613.0,121424.0,9862978.0,2021,Central,Chibombo,Central,Chibombo,2021::central::chibombo,matched,
Central,Chisamba,108188.0,3656385.0,145204.0,350710.0,53915.0,26789.0,4341191.0,2021,Central,Chisamba,Central,Chisamba,2021::central::chisamba,matched,
Central,Chitambo,6220.0,746222.0,70041.0,164527.0,11109.0,-42966.0,955153.0,2021,Central,Chitambo,Central,Chitambo,2021::central::chitambo,matched,
Central,Itezhi-tezhi,1964130.0,1060822.0,216354.0,245769.0,99128.0,0.0,3586203.0,2021,Central,Itezhi-tezhi,Central,Itezhi-Tezhi,2021::central::itezhi tezhi,matched,score district normalized: Itezhi-Tezhi -> Itezhi-tezhi
Central,Kabwe Municipal Council,9468195.0,6437159.0,535814.0,1640874.0,5261632.0,0.0,23343674.0,2021,Central,Kabwe,Central,Kabwe,2021::central::kabwe,matched,council suffix removed: Kabwe Municipal Council -> Kabwe
Central,Kapiri Mposhi,4631118.0,5088765.0,76054.0,1940092.0,305488.0,1957225.0,13998742.0,2021,Central,Kapiri Mposhi,Central,Kapiri Mposhi,2021::central::kapiri mposhi,matched,
Central,Luano,961107.0,2692838.0,16548.0,76167.0,26644.0,20716.0,3794020.0,2021,Central,Luano,Central,Luano,2021::central::luano,matched,
Central,Mkushi,1147806.0,1346510.0,24180.0,4629278.0,465435.0,-5253.0,7607956.0,2021,Central,Mkushi,Central,Mkushi,2021::central::mkushi,matched,
Central,Mumbwa,1805169.0,4086126.0,25825.0,1326151.0,288501.0,-41.0,7531731.0,2021,Central,Mumbwa,Central,Mumbwa,2021::central::mumbwa,matched,
Central,NgabweTown Council,4905.0,88539.0,71822.0,319982.0,200.0,0.0,485448.0,2021,Central,Ngabwe,Central,Ngabwe,2021::central::ngabwe,matched,council suffix removed: NgabweTown Council -> Ngabwe
Central,Serenje,461269.0,5056602.0,146412.0,579575.0,680815.0,52301.0,6976974.0,2021,Central,Serenje,Central,Serenje,2021::central::serenje,matched,
Central,Shibuyunji,4188500.0,1521773.0,26494.0,268850.0,98826.0,0.0,6104443.0,2021,Central,Shibuyunji,Central,Shibuyunji,2021::central::shibuyunji,matched,
Copperbelt,Chililabombwe Municipal Council,21163342.0,29715561.0,614700.0,8332346.0,3670282.0,0.0,63496231.0,2021,Copperbelt,Chililabombwe,Copperbelt,Chililabombwe,2021::copperbelt::chililabombwe,matched,council suffix removed: Chililabombwe Municipal Council -> Chililabombwe
Copperbelt,Chingola Municipal Council,37386901.0,8159284.0,623999.0,2225284.0,4002407.0,0.0,52397875.0,2021,Copperbelt,Chingola,Copperbelt,Chingola,2021::copperbelt::chingola,matched,council suffix removed: Chingola Municipal Council -> Chingola
Copperbelt,Kalulushi Municipal Council,53232598.0,6398169.0,1059413.0,236124.0,966139.0,65793.0,61958236.0,2021,Copperbelt,Kalulushi,Copperbelt,Kalulushi,2021::copperbelt::kalulushi,matched,council suffix removed: Kalulushi Municipal Council -> Kalulushi
Copperbelt,Kitwe City Council,50033282.0,53015172.0,1165666.0,2734090.0,11401812.0,0.0,118350022.0,2021,Copperbelt,Kitwe,Copperbelt,Kitwe,2021::copperbelt::kitwe,matched,council suffix removed: Kitwe City Council -> Kitwe
