District,Province,Year,Broadband Internet Score,Mobile Internet Score,Key Structure Internet Access Score,Accessibility to Hospitals Score,Accessibility to Schools Score,Railway Heatwave Score,Road Heatwave Score,Road Flood Score,Railway Flood Score,Emissions Normalized Score,Air Quality Score,Deforestation Score,Emissions Score,Luminosity per Capita Score,Luminosity per Area Score,Built Area Development Score,Tourism Score,Agricultural Land Score,Infrastructure Score,Livability Score,Prosperity Score,canonical_Province,canonical_District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,osr_source_Province,osr_source_District,osr_match_status,osr_match_notes
Chadiza,Eastern,2021,44.0,47.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,42.0,81.0,57.99999999999999,53.0,9.0,16.0,49.0,45.0,78.0,41.0,57.0,39.4,Eastern,Chadiza,2175468.0,470406.0,1855.0,1489123.0,106473.0,0.0,4243325.0,Eastern,Chadiza,matched,
Chama,Muchiga,2021,44.0,63.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,55.00000000000001,98.0,8.0,36.0,87.0,33.0,34.0,45.0,27.0,54.6,52.38,45.2,Muchinga,Chama,26788.0,330674.0,6240.0,213866.0,49855.0,0.0,627423.0,Eastern,Chama,matched,OSR province differs from score/admin geography: Eastern -> Muchinga; score province normalized: Muchiga -> Muchinga
Chasefu,Eastern,2021,44.0,51.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,34.0,94.0,1.0,39.0,25.0,27.0,77.0,45.0,70.0,41.8,48.75,48.8,Eastern,Chasefu,7945.0,723652.0,5730.0,80895.0,2920.0,0.0,821142.0,Eastern,Chasefu,matched,
Chavuma,North-Western,2021,44.0,23.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,51.0,33.0,43.0,48.0,64.0,1.0,34.0,45.0,33.0,36.2,49.62,35.4,North-Western,Chavuma,62331.0,725004.0,1938.0,191997.0,21129.0,0.0,1002399.0,North Western,Chavuma,matched,province normalized: North Western -> North-Western
Chembe,Luapula,2021,44.0,66.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,77.0,62.0,64.0,77.0,54.0,50.0,85.0,45.0,22.0,44.8,62.75,51.2,Luapula,Chembe,16361.0,1852890.0,62292.0,462822.0,38048.0,0.0,2432413.0,Luapula,Chembe,matched,
Chibombo,Central,2021,44.0,32.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,93.0,38.0,71.0,94.0,28.000000000000004,72.0,73.0,45.0,96.0,38.0,64.75,62.8,Central,Chibombo,1968400.0,4876849.0,483910.0,1446782.0,965613.0,121424.0,9862978.0,Central,Chibombo,matched,
Chiengi,Luapula,2021,44.0,15.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,18.0,57.99999999999999,51.0,22.0,20.0,29.0,31.0,45.0,18.0,34.6,46.38,28.6,Luapula,Chiengi,8888.0,397830.0,11724.0,465483.0,23424.0,223821.0,1131170.0,Luapula,Chiengi,matched,
Chifunabuli,Luapula,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,90.0,72.0,83.0,85.0,26.0,6.0,81.0,45.0,17.0,33.0,69.0,35.0,Luapula,Chifunabuli,8005.0,484830.0,92365.0,53263.0,42545.0,0.0,681008.0,Luapula,Chifunabuli,matched,
Chikankanta,Southern,2021,44.0,64.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,97.0,46.0,62.0,88.0,37.0,57.99999999999999,47.0,45.0,78.0,54.8,64.38,53.0,Southern,Chikankanta,5662404.0,1173124.0,132540.0,690785.0,46971.0,0.0,7705824.0,Southern,Chikankata,matched,district spelling normalized: Chikankata -> Chikankanta
Chilanga,Lusaka,2021,44.0,47.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,25.0,1.0,36.0,43.0,27.0,96.0,26.0,45.0,75.0,41.0,40.88,53.8,Lusaka,Chilanga,5374221.0,2120860.0,32595.0,635124.0,642487.0,0.0,8805287.0,Lusaka,Chilanga,matched,
